Id,URL,Question,Keywords,Target knob(s)
apache-1,http://serverfault.com/questions/265179/apache-redirect-problem-www-domain-com-redirects-to-domain-com-automatically,What I want is redirecting domain.com to www.domain.com instead of the opposite,redirect domain.com www.domain.com opposite,Redirect
apache-2,http://mail-archives.apache.org/mod_mbox/httpd-users/201308.mbox/%3CCAFZbZqM9+0yb80m3=hOfw=Md14wsr7698v26AJosX3oZqCtibA@mail.gmail.com%3E,I need to proxy http requests to https server in the backend,proxy http requests https server backend,ProxyRequests
apache-3,http://serverfault.com/questions/490793/setting-up-mod-proxy-in-apache,How do I configure the proxy to forward all requests,proxy forward requests,ProxyRequests
apache-4,http://serverfault.com/questions/200207/how-to-configure-apache-so-that-it-can-listen-on-another-host,How to configure apache so that it can listen on another host,apache listen host,<VirtualHost>
apache-5,http://serverfault.com/questions/324219/apache-htaccess-rewriterule-to-remove-trailing-slash-infinite-loop,remove the trailing slash,remove trailing slash,DirectorySlash
apache-6,http://mail-archives.apache.org/mod_mbox/httpd-users/201304.mbox/%3C797C30F3EC4D3F4C96C2A97CCBE16E8AA99462441D@NDMSSCC06.ndc.nasa.gov%3E,why Apache considers a file with a .to extension to by a CGI script,apache considers file extension cgi script,AddHandler
apache-7,http://serverfault.com/questions/71020/mod-rewrite-how-do-i-check-the-http-referers-query-string,How do I check the HTTP_REFERER QUERY_STRING,check http_referer query_string,RewriteCond
apache-8,http://serverfault.com/questions/123917/how-do-i-disable-medium-and-weak-low-strength-ciphers-in-apache-mod-ssl,How do I disable MEDIUM and WEAK and LOW strength ciphers in Apache + mod_ssl,disable medium weak low strength ciphers apache mod_ssl,SSLCipherSuite;SSLProtocol
apache-9,http://serverfault.com/questions/408534/tunnel-http-through-https-using-apache,Tunnel HTTP through HTTPS,tunnel http https,mod_proxy_connect
apache-10,http://serverfault.com/questions/515059/forward-apache-500-status-to-404,catch when a 500 status is given and return something like 404 instead,catch 500 status return 404,ErrorDocument
apache-11,http://serverfault.com/questions/69812/wildcards-in-virtual-hosts-with-dynamic-logs,all the example1.com instances are replaced with domain,example1 instances replaced domain,mod_rewrite
apache-12,http://serverfault.com/questions/116206/how-do-i-use-htaccess-to-always-redirect-from-http-to-https,always redirect from HTTP to HTTPS,redirect http https,mod_alias
apache-13,http://mail-archives.apache.org/mod_mbox/httpd-users/201304.mbox/%3CCAPpMyBFWo25+r0v-zGot4OzL_TOAQ0uT1yB=uEe3VaiHH4DgDQ@mail.gmail.com%3E,reduce the number of reading requests,reduce number reading requests,Timeout
apache-14,http://serverfault.com/questions/89399/https-timeout-while-http-works,is there a way to control timeout time for https,control timeout time https,Timeout
apache-15,http://serverfault.com/questions/520054/configure-new-server-for-htaccess,Configure New Server for .htaccess,server htaccess,AllowOverride
apache-16,http://serverfault.com/questions/100519/how-can-i-prevent-users-from-seeing-my-php-source-code,How can I prevent users from seeing my PHP source code,prevent users php source code,Allow;Deny
apache-17,http://serverfault.com/questions/163412/seperate-server-logs,Is there a way I can specify that anything within /livehelp go into a different log file,path url different log file,CustomLog;ErrorLog
apache-18,http://serverfault.com/questions/248918/how-can-i-enable-logging-for-requests-going-through-mod-proxy,Is there a way to log requests going through mod proxy,log requests mod proxy,mod_forensic
apache-19,http://serverfault.com/questions/115371/rewrite-url-path-index-php-to-url-path,Rewrite /url/path/index.php to /url/path,rewrite path url path url,RewriteCond;RewriteRule
apache-20,http://serverfault.com/questions/413665/plesk-11-centos-6-how-to-configure-what-is-recorded-in-the-apache-access-log,how to configure what is recorded in the apache access log,recorded apache access log,SetEnvIf;CustomLog
apache-21,http://serverfault.com/questions/554700/how-do-i-redirect-rewrite-to-the-fqdn-url-without-setting-servername,redirect or rewrite to the FQDN URL without setting ServerName,redirect rewrite fqdn url setting servername,UseCanonicalName
apache-22,http://serverfault.com/questions/512190/howto-serve-different-local-index-page-with-multiple-virtualhosts,howto serve different local index page with multiple virtualhosts,serve different local index page multiple virtualhosts,NameVirtualHost
apache-23,http://serverfault.com/questions/245127/apache2-on-windows-virtualhost-seems-to-not-work-properly,server the pages from default DocumentRoot,server pages default documentroot domain name,NameVirtualHost;VirtualHost
apache-24,http://mail-archives.apache.org/mod_mbox/httpd-users/201303.mbox/%3CBAY002-W11E3346B402745C90EED92F7F90@phx.gbl%3E,"Why are error/access logs not being written in apache's ""logs"" directory",error access logs written apache logs directory,ErrorLog;CustomLog
apache-25,http://serverfault.com/questions/131286/redirect-http-requests-based-on-subdomain-address-without-changing-accessed-url,How can I prevent users from accessing directly /wp directory,prevent users accessing directly path url directory,mod_rewrite;RewriteCond
apache-26,http://serverfault.com/questions/539118/is-there-an-apache2-directive-to-explicitly-set-directory-listings-403-forbidden,set directory listings 403 Forbidden,directory listings 403 forbidden,Options
apache-27,http://serverfault.com/questions/74614/how-to-add-multiple-domains-to-my-dedicated-server,how to add multiple domains to my dedicated server,add multiple domains dedicated server,VirtualHost
apache-28,http://serverfault.com/questions/141234/is-it-possible-to-alias-a-url-in-apache-without-using-hosts,alias a URL in apache without using hosts,alias url apache hosts,<VirtualHost>
apache-29,http://serverfault.com/questions/499531/how-to-make-apaches-error-log-show-more-information,How to make Apache's error log show more information,make apache's error log show information,LogLevel
apache-30,http://serverfault.com/questions/213424/how-to-stop-mod-deflate-from-logging-to-my-php-error-log,How to stop mod_deflate from logging to my php error log,stop mod_deflate logging php error log,LogLevel
apache-31,http://serverfault.com/questions/188986/apache-vhost-host-vs-ip,What is the right approach to point requests to the IP i.e. to a 403,approach point requests ip 403,RewriteEngine;RewriteRule
apache-32,http://serverfault.com/questions/63190/passing-a-url-as-a-varible-via-mod-rewrite,Passing a URL as a varible via mod rewrite,passing url varible mod rewrite,RewriteCond
apache-33,http://serverfault.com/questions/78286/can-i-get-apache-to-log-only-a-sample-of-the-requests,Can I get apache to log only a sample of the requests,apache log sample requests,SetEnvIf
apache-34,http://serverfault.com/questions/213668/ignore-heartbeat-in-apache-access-logs,Ignore heartbeat in Apache access logs,ignore heartbeat apache access logs,SetEnvIf;CustomLog
apache-35,http://serverfault.com/questions/64986/different-authentication-for-same-site-with-apache2,different authentication for same site with Apache2,different authentication site apache2,Location;mod_alias;mod_rewrite
apache-36,http://serverfault.com/questions/518209/apache-domain-names-are-case-sensitive,How can I make Apache case insensitive,make apache case insensitive,mod_rewrite
apache-37,http://serverfault.com/questions/207774/enabling-apache-options-based-on-a-request-header,I want to use different apache options if a HTTP header is present.,different apache options http header present,RewriteCond
apache-38,http://serverfault.com/questions/138165/is-it-possible-to-write-an-htpasswd-file-that-redirects-certain-users-to-certain,Is it possible to write an htpasswd file that redirects certain users to certain directories,write htpasswd file redirects users directories,mod_rewrite
apache-39,http://serverfault.com/questions/56204/apache-2-redirect-subdomains-in-given-list,Apache 2 Redirect Subdomains in Given List,apache 2 redirect subdomains list,RewriteMap
