Id,URL,Question,Keywords,Target knob(s)
hadoop-1,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201104.mbox/%3C869F47DA19D04C20ADB8ADB9F46927B3@RINGRING%3E,how can I just start HDFS out of safe mode,start hdfs safe mode,dfs.namenode.safemode.threshold-pct;dfs.namenode.safemode.extension
hadoop-2,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201103.mbox/%3C4D6D2BC0.1040809@kalooga.com%3E,different hadoop.tmp.dir for master and slaves,different hadoop.tmp.dir master slaves,mapred.local.dir
hadoop-3,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200905.mbox/%3CBAY102-DS77C63A450CC66B566AC68BC5E0@phx.gbl%3E,Append functionality in Hadoop,append functionality hadoop,dfs.support.append
hadoop-4,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200801.mbox/%3C4c817d530801081108y75b741e9ld16fbd6ca44ba293@mail.gmail.com%3E,limit the space used by hadoop at a slave node,limit space hadoop slave node,dfs.datanode.du.reserved;dfs.datanode.du.pct
hadoop-5,http://mail-archives.apache.org/mod_mbox/hadoop-user/201401.mbox/%3CCACbLQ=1LotQR8tbXVLTEz3bEqhWwEwSiF+RN_gJbFUccLGejVQ@mail.gmail.com%3E,Block size,block size,dfs.block.size
hadoop-6,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201206.mbox/%3C305172716-1340719954-cardhu_decombobulator_blackberry.rim.net-1660870675-@b17.c15.bise7.blackberry%3E,change hdfs block size for file existing on HDFS,change hdfs block size file existing hdfs,dfs.block.size
hadoop-7,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201011.mbox/%3C4CDC1886.4050403@gmail.com%3E,Java heap space error on PFPGrowth,java heap space error pfpgrowth,mapred.child.java.opts
hadoop-8,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201206.mbox/%3CD634846B95D967479F3D9764E36EFCF1031133@MERCMBX14D.na.SAS.com%3E,set file permissions at the hadoop and os level,file permissions hadoop os level,dfs.permission.enable
hadoop-9,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201007.mbox/%3CAANLkTim_eETJQC5h4a1MeTGDeyvve-pK9-Q0aA-DOgQO@mail.gmail.com%3E,control the number of map tasks for each nodes,control number map tasks nodes,mapred.tasktracker.map.tasks.maximum;mapred.tasktracker.reduce.tasks.maximum
hadoop-10,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201306.mbox/%3CCAHH8OOc+nYr-aNSCLcQnNTb6tvAf3y0H+A3S8ho_9k-24BRZyA@mail.gmail.com%3E,set the maximum size of physical memory of a container,maximum size physical memory container,mapreduce.map.memory.mb;mapreduce.reduce.memory.mb
hadoop-11,http://mail-archives.apache.org/mod_mbox/hadoop-mapreduce-user/201309.mbox/%3C52435D1C.1090008@gmail.com%3E,set the number of reduce tasks when I launch the job by command line,number reduce tasks launch job command line,mapreduce.job.reduces
hadoop-12,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201312.mbox/%3Ctrinity-9718788b-7073-4700-b160-c95a87b5b33e-1386088727707@3capp-webde-bs11%3E,we want to set the heartbeat timout for a tasktracker,heartbeat timout tasktracker,mapred.tasktracker.expiry.interval;mapred.tasktracker.expiry.intervalnterval
hadoop-13,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201401.mbox/%3CCABGiY4DajcitwwyJ7jrthMjHpG4jK8Y2HGmZ8w15k+V_G7n+Jg@mail.gmail.com%3E,How to configure multiple reduce jobs,multiple reduce jobs,mapreduce.job.reduces
hadoop-14,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201306.mbox/%3CCAG4QEv5nAacVpi0z+7LN3WgrWBRO97ok4_qhaZnY2qGxtJscUw@mail.gmail.com%3E,how to pass the .gz file as  file input for mapreduce job,pass gz file file input mapreduce job,io.compression.codecs
hadoop-15,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201204.mbox/%3C4F79B4E1.5080408@ugent.be%3E,set general java options for each started task,general java options started task,mapred.child.java.opts
hadoop-16,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200806.mbox/%3C82450.71496.qm@web53612.mail.re2.yahoo.com%3E,speed up the replication process,speed replication process,dfs.namenode.replication.interval
